Project,Category,เสาเบอร์,Gridline,Gridline
Escent Nakhon Si,งานเสา,C32,Zone 1,3/X
Escent Nakhon Si,งานเสา,C15,Zone 1,3/S
Escent Nakhon Si,งานเสา,C33,Zone 1,8/X
Escent Nakhon Si,งานเสา,C31,Zone 1,8/R
Escent Nakhon Si,งานเสา,C9,Zone 1,12/X
Escent Nakhon Si,งานเสา,C29,Zone 1,12/T
Escent Nakhon Si,งานเสา,C34,Zone 1,16/X
Escent Nakhon Si,งานเสา,C30,Zone 1,16/R
Escent Nakhon Si,งานเสา,C10,Zone 1,15/N
Escent Nakhon Si,งานเสา,C2,Zone 1,13/O
Escent Nakhon Si,งานเสา,C1,Zone 1,9/L
Escent Nakhon Si,งานเสา,C25,Zone 1,10/H
Escent Nakhon Si,งานเสา,C24,Zone 1,7/E
Escent Nakhon Si,งานเสา,C5,Zone 1,2/E
Escent Nakhon Si,งานเสา,C12,Zone 1,1/B
Escent Nakhon Si,งานเสา,C13,Zone 1,4/B
Escent Nakhon Si,งานเสา,C14,Zone 1,5/B
Escent Nakhon Si,งานเสา,C16,Zone 1,11/B
Escent Nakhon Si,งานเสา,C34,Zone 2,19/Y
Escent Nakhon Si,งานเสา,C28,Zone 2,19/U
Escent Nakhon Si,งานเสา,C35,Zone 2,22/W
Escent Nakhon Si,งานเสา,C36,Zone 2,23/Y
Escent Nakhon Si,งานเสา,C37,Zone 2,23/U
Escent Nakhon Si,งานเสา,C8,Zone 2,26/Y
Escent Nakhon Si,งานเสา,C3,Zone 2,26/Q
Escent Nakhon Si,งานเสา,C6,Zone 2,25/M
Escent Nakhon Si,งานเสา,C7,Zone 2,28/P
Escent Nakhon Si,งานเสา,C4,Zone 2,21/M
Escent Nakhon Si,งานเสา,C11,Zone 2,18/M
Escent Nakhon Si,งานเสา,CW1,Zone 2,28/Y-Q
Escent Nakhon Si,งานเสา,CORE ST02,Zone 2,22-23/M-P
Escent Nakhon Si,งานเสา,C17,Zone 2,24/J
Escent Nakhon Si,งานเสา,C18,Zone 1,14/A
Escent Nakhon Si,งานเสา,C18,Zone 1,14/C
Escent Nakhon Si,งานเสา,C18,Zone 1,15/K
Escent Nakhon Si,งานเสา,C18,Zone 1,15/G
Escent Nakhon Si,งานเสา,C18,Zone 1,17/C
Escent Nakhon Si,งานเสา,C18,Zone 1,17/A
Escent Nakhon Si,งานเสา,C18,Zone 1,18/K
Escent Nakhon Si,งานเสา,C18,Zone 1,18/G
Escent Nakhon Si,งานเสา,C18,Zone 2,21/G
Escent Nakhon Si,งานเสา,C18,Zone 2,20/C
Escent Nakhon Si,งานเสา,C18,Zone 2,20/A
Escent Nakhon Si,งานเสา,C18,Zone 2,22/D
Escent Nakhon Si,งานเสา,C19,Zone 1,15/I
Escent Nakhon Si,งานเสา,C19,Zone 1,18/I
Escent Nakhon Si,งานเสา,C19,Zone 2,21/I
Escent Nakhon Si,งานเสา,C20,Zone 2,21/K
Escent Nakhon Si,งานเสา,C21,Zone 2,22/I
Escent Nakhon Si,งานเสา,C21,Zone 2,22/G
Escent Nakhon Si,งานเสา,C22,Zone 1,13/K
Escent Nakhon Si,งานเสา,C22,Zone 1,13/G
Escent Nakhon Si,งานเสา,C23,Zone 1,13/I
Escent Nakhon Si,งานเสา,C26,Zone 1,6/F
Escent Nakhon Si,งานเสา,C40,Zone 1,1/H